Autor, Year, Title, Ed,Sub
Unknown,1995, AOL appearances,Editor and Publisher,Book Publisher
Unknown,1995, Art sales for Cohen,Editor and Publisher,Book Publisher
Unknown,1995, Artists going online ,Editor and Publisher,Book Publisher
Unknown,1995, Artists going online,Editor and Publisher,Book Publisher
Unknown,1995, 'Ask Shagg' e-mail,Editor and Publisher,Book Publisher
Unknown,1995, 'Baby Blues' name,Editor and Publisher,Book Publisher
Unknown,1995, Best cartoons book,Editor and Publisher,Book Publisher
Unknown,1995, 'Betty' strip moves,Editor and Publisher,Book Publisher
Unknown,1995, Billy the kid cameo [from Family Circus in Zippy],Editor and Publisher,Book Publisher
Unknown,1995, 'Bootsie' cartoonist [Oliver Harrington dies],Editor and Publisher,Book Publisher
Unknown,1995, 'Calvin wins [poll] again,Editor and Publisher,Book Publisher
Unknown,1995, 'Captain Canuck' is star of a story strip [by Canadian Richard Comely],Editor and Publisher,Book Publisher
Unknown,1995, Career in comics is focus of new book [by Lee Nordling],Editor and Publisher,Book Publisher
Unknown,1995, Caricature package ['Caricatures of the World'] marks 10th birthday,Editor and Publisher,Book Publisher
Unknown,1995, Cartoon centennial celebrated in show ['100 Years of Cartoon Art in America' by Newspaper Features Council],Editor and Publisher,Book Publisher
Unknown,1995, Cartoon centennial is theme of festival,Editor and Publisher,Book Publisher
Unknown,1995, Cartoon credit card for Florida museum,Editor and Publisher,Book Publisher
Unknown,1995, Cartoon draws bomb donations [Oklahoma City bombing cartoon by Dan Wasserman],Editor and Publisher,Book Publisher
Unknown,1995, Cartoon on racism is still controversial,Editor and Publisher,Book Publisher
Unknown,1995, Cartoon trio offered [Buzz Gambill's Caricatoons. Heartland. and Murfy],Editor and Publisher,Book Publisher
Unknown,1995, Cartoonist [John Belfi] has died,Editor and Publisher,Book Publisher
Unknown,1995, Cartoonist is returning to Nebraskan paper [Paul Fell],Editor and Publisher,Book Publisher
Unknown,1995, Cartoonists draw a crowd at post office,Editor and Publisher,Book Publisher
Unknown,1995, Cartoons and book by New York artist [Abe Blashko],Editor and Publisher,Book Publisher
Unknown,1995, Cartoons supported [in poll; 'Rubes' and 'Alley Oop'],Editor and Publisher,Book Publisher
Unknown,1995, Changes in awards [from National Cartoonists Society],Editor and Publisher,Book Publisher
Unknown,1995, Columns and comic offered by Little [Mark Tatulli's 'Bent Halos' religious strip],Editor and Publisher,Book Publisher
Unknown,1995, Comic about sports ['Play of the Day' by Bob Kuhn],Editor and Publisher,Book Publisher
Unknown,1995, Comic anniversary ['Kit 'n' Carlyle' by Larry Wright],Editor and Publisher,Book Publisher
Unknown,1995, Comic cat [Garfield] has new operation in Japan,Editor and Publisher,Book Publisher
Unknown,1995, Comic creator dies [Richard Yager],Editor and Publisher,Book Publisher
Unknown,1995, Comic helps SADD [Luann by Greg Evans],Editor and Publisher,Book Publisher
Unknown,1995, Comic stamp event [Jim Scancarelli signing],Editor and Publisher,Book Publisher
Unknown,1995, Comics centennial events are coming; They include 100th anniversary exhibits. the unveiling of stamps. convention sessions and a cartoon festival,Editor and Publisher,Book Publisher
Unknown,1995, Comics featured on new internet locale,Editor and Publisher,Book Publisher
Unknown,1995, CompuServe strips,Editor and Publisher,Book Publisher
Unknown,1995, Computerized color in Sunday 'Luann',Editor and Publisher,Book Publisher
Unknown,1995, Conrad exhibit and discussion in Calif,Editor and Publisher,Book Publisher
Unknown,1995, 'Crabby' comic has entered syndication [Maxine. from Hallmark Cards. in Crabby Road by John Wagner],Editor and Publisher,Book Publisher
Unknown,1995, Creators is offering celebrity caricatures [Alex Perez],Editor and Publisher,Book Publisher
Unknown,1995, 'Deep End' cartoon is being syndicated ['Off the Deep end' by Jennifer Bartels],Editor and Publisher,Book Publisher
Unknown,1995, Did 'Gasoline' strip [William Miles Perry obituary],Editor and Publisher,Book Publisher
Unknown,1995, Digital color is now in 'Frank & Ernest',Editor and Publisher,Book Publisher
Unknown,1995, Digital consortium adds two members,Editor and Publisher,Book Publisher
Unknown,1995, 'Dilbert' changeover [website],Editor and Publisher,Book Publisher
Unknown,1995, Donations for [Locher editorial cartoon] prize,Editor and Publisher,Book Publisher
Unknown,1995, 'Doonesbury' artist is among honorees,Editor and Publisher,Book Publisher
Unknown,1995, 'Doonesubry' disc on strip's 25 years,Editor and Publisher,Book Publisher
Unknown,1995, Editorial cartoonist [Chris Britt] receives NPF prize,Editor and Publisher,Book Publisher
Unknown,1995, Editorial cartoonist [Marshall Ramsey] named Copley exec,Editor and Publisher,Book Publisher
Unknown,1995, Editorial cartoonist [Mickey Siporin is self-syndicating],Editor and Publisher,Book Publisher
Unknown,1995, Editorial cartoonist joins Copley again [Gary Markstein],Editor and Publisher,Book Publisher
Unknown,1995, Events to mark the birthday of comics [centennial],Editor and Publisher,Book Publisher
Unknown,1995, 'Farcus' cartoon is delivered via e-mail,Editor and Publisher,Book Publisher
Unknown,1995, Florida firm offers comics pagination,Editor and Publisher,Book Publisher
Unknown,1995, 'For Better' strip is tops in top-100 poll; Lynn Johnston's feature is one of three comics that appear in 87 of America's 100 biggest newspapers,Editor and Publisher,Book Publisher
Unknown,1995, Four nominated for major cartoon prize,Editor and Publisher,Book Publisher
Unknown,1995, 'Garfield' firm loses a 14-year executive,Editor and Publisher,Book Publisher
Unknown,1995, Goldberg exhibition,Editor and Publisher,Book Publisher
Unknown,1995, 'Gooseberry' comic [Gooseberry Creek by FEN],Editor and Publisher,Book Publisher
Unknown,1995, Growing opposition to cartoon taxation,Editor and Publisher,Book Publisher
Unknown,1995, Hoest at a mile run,Editor and Publisher,Book Publisher
Unknown,1995, Homelessness data,Editor and Publisher,Book Publisher
Unknown,1995, Hong Kong strip is popular on the Web [Larry Feign's The World of Lily Wong],Editor and Publisher,Book Publisher
Unknown,1995, 'Hot Pink' comic is launched by Sisters [Anne Gibbons; women-oriented],Editor and Publisher,Book Publisher
Unknown,1995, 'I Need Help.' says a new King creator [Vic Lee ],Editor and Publisher,Book Publisher
Unknown,1995, Ito asks for cartoon [by Jimmy Margulies],Editor and Publisher,Book Publisher
Unknown,1995, It's Momma herself at Xmas gathering [Mell Lazarus],Editor and Publisher,Book Publisher
Unknown,1995, Keane comic panel is now 35 years old,Editor and Publisher,Book Publisher
Unknown,1995, King creators speak [at Barnum Museum exhibit including Hoest. Billingsley. Weber. DiPreta. Brian Walker. Greg Walker & Chance Browne],Editor and Publisher,Book Publisher
Unknown,1995, King signs 'Chaos' [by Brian Shuster],Editor and Publisher,Book Publisher
Unknown,1995, King will represent digital comics firm,Editor and Publisher,Book Publisher
Unknown,1995, Large sum is raised [for Oklahoma City by editorial cartoonist Dan Wasserman],Editor and Publisher,Book Publisher
Unknown,1995, Launch date set for new 'Terry' cartoon,Editor and Publisher,Book Publisher
Unknown,1995, Longtime cartoonist to take a sabbatical [Jerry Robinson],Editor and Publisher,Book Publisher
Unknown,1995, 'Loonies' gathering [features Dana Crumb],Editor and Publisher,Book Publisher
Unknown,1995, 'Luann' strip offers two special stories [fashion and drunk driving],Editor and Publisher,Book Publisher
Unknown,1995, Lurie will speak and receive prize at UN,Editor and Publisher,Book Publisher
Unknown,1995, Mags for Wilkinson,Editor and Publisher,Book Publisher
Unknown,1995, Man and woman do alternating cartoon [Wiley and Susan Dewar's 'Us & Them'],Editor and Publisher,Book Publisher
Unknown,1995, Marvel and 'Valiant',Editor and Publisher,Book Publisher
Unknown,1995, Michigan student is Locher prize winner [Drew Sheneman],Editor and Publisher,Book Publisher
Unknown,1995, Milestone for comic that began in 1950 ['Beetle Bailey'],Editor and Publisher,Book Publisher
Unknown,1995, Milestone for 'Sally' [500th client],Editor and Publisher,Book Publisher
Unknown,1995, 'Momma' milestone [of 25th anniversary],Editor and Publisher,Book Publisher
Unknown,1995, Museum gets early drawings of Mickey [by Disney artist Ub Iwerks; donated by Steve Geppi],Editor and Publisher,Book Publisher
Unknown,1995, 'Nancy' to be done in Bushmiller style [by Guy and Brad Gilchrist],Editor and Publisher,Book Publisher
Unknown,1995, New comic features fairy tale characters [Happily Ever After by Diane Brooks],Editor and Publisher,Book Publisher
Unknown,1995, News about awards [editorial cartoonists Stuart Carlson and Walt Handelsman win Fischetti],Editor and Publisher,Book Publisher
Unknown,1995, News about awards [Ted Rall. Herbert Block. Rob Rogers. Morrie Turner. Beakman's World tv show],Editor and Publisher,Book Publisher
Unknown,1995, 'Non Sequitur' strip will also be a panel,Editor and Publisher,Book Publisher
Unknown,1995, Online appearance [by Lynn Johnston],Editor and Publisher,Book Publisher
Unknown,1995, 'Orange' cartoon is syndicated by King [Rhymes with Orange by Hilary Price],Editor and Publisher,Book Publisher
Unknown,1995, Pair of comics polls,Editor and Publisher,Book Publisher
Unknown,1995, 'Peanuts' billboard,Editor and Publisher,Book Publisher
Unknown,1995, 'Peanuts' exhibition,Editor and Publisher,Book Publisher
Unknown,1995, 'Peanuts' joins web,Editor and Publisher,Book Publisher
Unknown,1995, 'Pebble' comic strip [Frolicking Pebble by Howard Sherman],Editor and Publisher,Book Publisher
Unknown,1995, Pett receives award [political cartoonist],Editor and Publisher,Book Publisher
Unknown,1995, Prez talks to [Southern California Cartoonists Society] group,Editor and Publisher,Book Publisher
Unknown,1995, 'Process' turns one [African-American strip by Crystal Davenport],Editor and Publisher,Book Publisher
Unknown,1995, Publication [for cartoonists. Pushin' the Envelope] debuts,Editor and Publisher,Book Publisher
Unknown,1995, 'Raising Hec' strip [by Peter Ramirez],Editor and Publisher,Book Publisher
Unknown,1995, Religion is part of a new book by Keane,Editor and Publisher,Book Publisher
Unknown,1995, Renamed restaurant [Herb & Jamaal by Stephen Bentley],Editor and Publisher,Book Publisher
Unknown,1995, 'Ripley's' artist dies [Walter Frehm],Editor and Publisher,Book Publisher
Unknown,1995, Rock comic ['Dick Clark's Rock and Roll Remember'] to STF,Editor and Publisher,Book Publisher
Unknown,1995, Schwadron offering his op-ed cartoons,Editor and Publisher,Book Publisher
Unknown,1995, Several exhibitions at cartoon museums,Editor and Publisher,Book Publisher
Unknown,1995, 'Shagg' to Creators,Editor and Publisher,Book Publisher
Unknown,1995, Site on the internet for new 'Terry' strip,Editor and Publisher,Book Publisher
Unknown,1995, 'Spider-Man' [tv] show,Editor and Publisher,Book Publisher
Unknown,1995, Swedish campaign [for Children Rights includes Bud Brace. Dick Browne. Andrew Vachss],Editor and Publisher,Book Publisher
Unknown,1995, Syndicate launches 'True!' comic panel [by Daryl Cagle],Editor and Publisher,Book Publisher
Unknown,1995, Syndicate X offers numerous features [including comic strips for Generation X],Editor and Publisher,Book Publisher
Unknown,1995, Teacher suspended for running cartoon [Signe Wilkinson editorial cartoon],Editor and Publisher,Book Publisher
Unknown,1995, Tennant is offering computer cartoons [Rich Tennant's The 5th Wave],Editor and Publisher,Book Publisher
Unknown,1995, Thaves talks online,Editor and Publisher,Book Publisher
Unknown,1995, TMS is publishing a daily [editorial] cartoon fax,Editor and Publisher,Book Publisher
Unknown,1995, Tribune comic strip features young man ['Adventures of Aaron' by Aaron Warner],Editor and Publisher,Book Publisher
Unknown,1995, Tribune syndicating a comic called 'Ick' [by Rich Moyer],Editor and Publisher,Book Publisher
Unknown,1995, Tribune syndicating 'Ghost' comic strip [Ghost Story Club by Allan Zullo and Dick Kulpa],Editor and Publisher,Book Publisher
Unknown,1995, Two sued in comic [Herb & Jamaal],Editor and Publisher,Book Publisher
Unknown,1995, Two survey winners ['Calvin and Hobbes' and 'The Far Side'],Editor and Publisher,Book Publisher
Unknown,1995, Veterans Day comic [Alley Oop],Editor and Publisher,Book Publisher
Unknown,1995, Virginian's cartoons [Chris Obrion's editorial cartoons],Editor and Publisher,Book Publisher
Unknown,1995, Web site cartoonist is signed by United ['Doctor Fun' by David Farley],Editor and Publisher,Book Publisher
Unknown,1995, WittyWorld on Web,Editor and Publisher,Book Publisher
Unknown,1995, World War II comic [exhibit of Caniff's 'Male Call'],Editor and Publisher,Book Publisher
Unknown,1995, WPWG distributing 'Smart Alex' comic [by Charlie Podrebarac],Editor and Publisher,Book Publisher
Wolper. Allan,1995, Student paper at odds with football coach [editorial cartoons],Editor and Publisher,Book Publisher
Unknown,1996, An eight-figure deal for Dilbert [S. Adams publishing deal],Editor and Publisher,Book Publisher
Unknown,1996, News in comics ['Comics on the news' series by New York Newsday],Editor and Publisher,Book Publisher
Unknown,1996, Syndicates are on a web-width watch. Comic creators don't find shrinkage of the funnies very funny,Editor and Publisher,Book Publisher
Unknown,1996, Syndicates/News Services [cartoon awards],Editor and Publisher,Book Publisher
Unknown,1996, Syndicates/News Services [cartoon tax issues],Editor and Publisher,Book Publisher
Astor. David,1996, [Comics and polls],Editor and Publisher,Book Publisher
Astor. David,1996, It's reigning a cat and a dog in hit strip [Mutts],Editor and Publisher,Book Publisher
Astor. David,1996, Panelists take polar positions on polls,Editor and Publisher,Book Publisher
Astor. David,1996, Several syndicates are dukes of URL,Editor and Publisher,Book Publisher
Unknown,1996, An eight-figure deal for 'Dilbert',Editor and Publisher,Book Publisher
Unknown,1996, Online cartoons ['Intoon with the News' by editorial cartoonist Mike Keefe on America Online],Editor and Publisher,Book Publisher
Unknown,1996, Piro is doing a Chronicle comic [Fair Game strip],Editor and Publisher,Book Publisher
Unknown,1996, Prize recipients [Jimmy Margulies wins Fischetti Editorial Cartoon Competition],Editor and Publisher,Book Publisher
Unknown,1996, TVData offering seven features ['Toon In' by Donna Barstow],Editor and Publisher,Book Publisher
Unknown,1997, Electronic clients to get price break [syndicates selling comics electronically],Editor and Publisher,Book Publisher
Unknown,1997, 'Family Popcorn' strip syndicated,Editor and Publisher,Book Publisher
Unknown,1997, Two strips end as third thrives [Agatha Grumm and What A Guy canceled; Lockhorns continues],Editor and Publisher,Book Publisher
Astor. David,1997, ['Beetle Bailey''s] Halftrack Getting Full Reeducation [on sexual harrassment],Editor and Publisher,Book Publisher
Astor. David,1997, [Cartoonist Profiles] Magazine Offers Cartoon Material,Editor and Publisher,Book Publisher
Astor. David,1997, [Charles Schulz] Strip Streak Stretched Nearly Half A Century,Editor and Publisher,Book Publisher
Astor. David,1997, [editorial cartoonist] Telnaes Wins A Headliner Honor,Editor and Publisher,Book Publisher
Astor. David,1997, [Editorial Cartoons] Panel Ponders Past. Present And Pols,Editor and Publisher,Book Publisher
Astor. David,1997, [England dwelling / New Zealand native Kim Casali has died] Was The Creator Of 'Love Is ,Editor and Publisher,Book Publisher
Astor. David,1997, [Gary] Markstein Wins Fischetti Award [ John Fischetti Editorial Cartoon Competition],Editor and Publisher,Book Publisher
Astor. David,1997, [George] Breisacher Now Heading [National Cartoonists Society] Group,Editor and Publisher,Book Publisher
Astor. David,1997, [Henry] Payne [editorial] Cartoons Now With SHNS,Editor and Publisher,Book Publisher
Astor. David,1997, [Mike Cavna's] 'Warped' Focus On Geography,Editor and Publisher,Book Publisher
Astor. David,1997, ['Off the Mark'] Comic Turns 10 With A Web Site,Editor and Publisher,Book Publisher
Astor. David,1997, ['Roswell' strip] Inspired By '47 Alien 'Incident',Editor and Publisher,Book Publisher
Astor. David,1997, [Wiley] Miller Creates Cartoons. Controversy,Editor and Publisher,Book Publisher
Astor. David,1997, A View Of United From Outside Its Exec Team [United Media Syndicate],Editor and Publisher,Book Publisher
Astor. David,1997, Anniversary For 'Frank & Ernest' [By Bob Thaves],Editor and Publisher,Book Publisher
Astor. David,1997, Another Gay Kid In The Comics? [Greg Evans' 'Luann'],Editor and Publisher,Book Publisher
Astor. David,1997, 'Arlo & Janis' Is Focus Of Exhibit,Editor and Publisher,Book Publisher
Astor. David,1997, ArtistMarket.com Makes Its Debut [web site showcases cartoonists],Editor and Publisher,Book Publisher
Astor. David,1997, Big-paper biggies. Garfield. Dilbert,Editor and Publisher,Book Publisher
Astor. David,1997, Big-paper biggies. Garfield. Dilbert,Editor and Publisher,Book Publisher
Astor. David,1997, Bill Would End Art Tax In Calif,Editor and Publisher,Book Publisher
Astor. David,1997, Borgman. Scott create a comic,Editor and Publisher,Book Publisher
Astor. David,1997, 'Boyz' Creator Has New Book ['Mama's Boyz' Cartoonist Jerry Craft],Editor and Publisher,Book Publisher
Astor. David,1997, Cartoon Mag On Syndicate's Site [Cartoonist Profiles magazine],Editor and Publisher,Book Publisher
Astor. David,1997, Cartoonist [Doug Marlette] Wins Kennedy Award [for his editorial cartoons],Editor and Publisher,Book Publisher
Astor. David,1997, Cartoonists And Writers Honored [Editorial cartoonist Bob Gorrell won the Berryman Award; 'Mutts' creator Patrick McDonnell],Editor and Publisher,Book Publisher
Astor. David,1997, Cartoonists At 'Career' Exhibit ['Curtis' creator Ray Billingsley and 'Nancy' artist Guy Gilchrist],Editor and Publisher,Book Publisher
Astor. David,1997, Cartoonists Hold A Hues Conference [on coloring their own Sunday comics via computer],Editor and Publisher,Book Publisher
Astor. David,1997, Column critical of 'Dilbert' strip,Editor and Publisher,Book Publisher
Astor. David,1997, Column Critical Of 'Dilbert' Strip,Editor and Publisher,Book Publisher
Astor. David,1997, Comic Air-itates Air Jordan Firm [Garry Trudeau's 'Doonesbury' strips on Nike factory in Vietnam],Editor and Publisher,Book Publisher
Astor. David,1997, 'Comic Capers' Event In Florida ['Blondie' writer Dean Young and artist Denis Lebrun. and 'Hagar the Horrible' cartoonist Chris Browne],Editor and Publisher,Book Publisher
Astor. David,1997, Comic Captions From Web Site ['The Joke's On You' by Phil Ryder],Editor and Publisher,Book Publisher
Astor. David,1997, 'Comic Corner' Kid Page Starts ['Sirg's Comic Corner' by Richard Sirgiovanni],Editor and Publisher,Book Publisher
Astor. David,1997, Comic stamps get millions of saves [collecting comics stamps],Editor and Publisher,Book Publisher
Astor. David,1997, Comic stamps get millions of saves [collecting comics stamps],Editor and Publisher,Book Publisher
Astor. David,1997, Comics Featured In Trio Of Shows [including 'Sylvia'],Editor and Publisher,Book Publisher
Astor. David,1997, Commentary On A Cartoon Field [Doug Marlette's 'Editorial Cartoonists. An Endangered Species?'],Editor and Publisher,Book Publisher
Astor. David,1997, Copley Offering Workplace Panel ['Offline' by Herb Stansbury],Editor and Publisher,Book Publisher
Astor. David,1997, 'Crankshaft' [by Tom Batiuk and Chuck Ayers] The Favorite In Poll,Editor and Publisher,Book Publisher
Astor. David,1997, Creator Back To Self-Syndicating [editorial cartoonist Mickey Siporin],Editor and Publisher,Book Publisher
Astor. David,1997, 'CyberSleuth' [by Rick Broadhead] Is Offered By TMS,Editor and Publisher,Book Publisher
Astor. David,1997, Debut For Lower Electronic Price [from Tribune Media Services],Editor and Publisher,Book Publisher
Astor. David,1997, 'Dennis' Has Old Toon Characters [including Jiggs. Krazy Kat. Little Nemo and Pogo],Editor and Publisher,Book Publisher
Astor. David,1997, Digital Color For Weekday Strips,Editor and Publisher,Book Publisher
Astor. David,1997, Effort To Save 'Pogo' Swamp,Editor and Publisher,Book Publisher
Astor. David,1997, Egyptian Paper Drops [Rana Lurie's editorial] Cartoons,Editor and Publisher,Book Publisher
Astor. David,1997, 'Ernie' Attracting Swedish Visitors [to New Jersey],Editor and Publisher,Book Publisher
Astor. David,1997, Exclusivity Rule Survives Again,Editor and Publisher,Book Publisher
Astor. David,1997, Feiffer To Voice. No Pay? I Quit,Editor and Publisher,Book Publisher
Astor. David,1997, Fewer Cartoons In Village Voice,Editor and Publisher,Book Publisher
Astor. David,1997, First 'Peanuts' Break Since '50,Editor and Publisher,Book Publisher
Astor. David,1997, Fools' Day features a funnies flip-flop,Editor and Publisher,Book Publisher
Astor. David,1997, 'For Better' Wins Another Survey,Editor and Publisher,Book Publisher
Astor. David,1997, Fortieth Birthday For 'Andy Capp',Editor and Publisher,Book Publisher
Astor. David,1997, 'Frank' Featuring Interactive Strips ['Frank & Ernest' on internet],Editor and Publisher,Book Publisher
Astor. David,1997, Friend Inspired Beetle Character [and donation to the International Museum of Cartoon Art by Mort Walker],Editor and Publisher,Book Publisher
Astor. David,1997, From The Wood Collection Of Art [political cartoons at Newseum museum],Editor and Publisher,Book Publisher
Astor. David,1997, 'Funky'[Winkerbean by Tom Batiuk] Reaches Its 25th Birthday,Editor and Publisher,Book Publisher
Astor. David,1997, 'Funnies' Event In Cedar Rapids [Museum of Art's 'Ten Days With the Funnies' exhibit includes 'Peanuts'. 'Marmaduke'. and 'Beetle Bailey'],Editor and Publisher,Book Publisher
Astor. David,1997, Gary Larson Is Keeping Busy,Editor and Publisher,Book Publisher
Astor. David,1997, 'Gasoline Alley' In The Big Apple,Editor and Publisher,Book Publisher
Astor. David,1997, Gay Teen Gets Some Reaction ['For Better or For Worse'],Editor and Publisher,Book Publisher
Astor. David,1997, 'Ghost' Readers Create Creatures ['Ghost Story Club' contest],Editor and Publisher,Book Publisher
Astor. David,1997, He Created The 'Winthrop' Strip [Dick Cavalli has died],Editor and Publisher,Book Publisher
Astor. David,1997, 'Hedge' Cartoon Goes Hollywood [movie based on 'Over the Hedge' by Michael Fry and T Lewis],Editor and Publisher,Book Publisher
Astor. David,1997, He's The Chump With The Hump [Joe Camel won the Sitting Duck Award],Editor and Publisher,Book Publisher
Astor. David,1997, High Court Asked To Rule On Exclusivity [of syndication],Editor and Publisher,Book Publisher
Astor. David,1997, Huge Debut For The 'Zits' Comic,Editor and Publisher,Book Publisher
Astor. David,1997, Innovative web site for 'Frank and Ernest',Editor and Publisher,Book Publisher
Astor. David,1997, Joe Camel [editorial cartoons by Mark Cohen] Art Is (Gasp) For Sale,Editor and Publisher,Book Publisher
Astor. David,1997, 'Katzenjammer' Comic Now 100,Editor and Publisher,Book Publisher
Astor. David,1997, Long History Of [syndication] Exclusivity Wars,Editor and Publisher,Book Publisher
Astor. David,1997, Mag Devoted To 'Alley Oop' Strip,Editor and Publisher,Book Publisher
Astor. David,1997, Many Live Kids Join Ghost Club[from 'Ghost Story Club' comic],Editor and Publisher,Book Publisher
Astor. David,1997, 'Meatloaf' Has A Creative Canine [Mark Buford's 'Meatloaf Night with Brewster'],Editor and Publisher,Book Publisher
Astor. David,1997, More Comics From Outside The Big 5,Editor and Publisher,Book Publisher
Astor. David,1997, 'Muddle' [by Bob Gorrell and Gary Brookins] Moves To A Syndicate,Editor and Publisher,Book Publisher
Astor. David,1997, New Book For A Cartoon Chapter [of the National Cartoonists Society containing the cartoons of. information about and comments by its members],Editor and Publisher,Book Publisher
Astor. David,1997, New Comic ['Daily Special' by Donna Barstow] Has Eat-Out Theme ,Editor and Publisher,Book Publisher
Astor. David,1997, New Comics For Bruce Hammond ['Homespin' with housing/real estate theme and the other on money],Editor and Publisher,Book Publisher
Astor. David,1997, News Of Newly Released Books [Win. Lose & Drew. Greatest Hits collection of sports cartoons by Drew Litton],Editor and Publisher,Book Publisher
Astor. David,1997, Offbeat Cartoon Panel Is Offered ['Juxtapose' written by Jay Schiller and drawn by Greg Cravens],Editor and Publisher,Book Publisher
Astor. David,1997, Pair Of Cartoon Panels Offered [Rick London's 'Rickshtick' and 'London's Bridge],Editor and Publisher,Book Publisher
Astor. David,1997, 'Quality Time' [by Gail Machlis] Is Featured In [web] Site,Editor and Publisher,Book Publisher
Astor. David,1997, Racial Cartoon [by Ted Rall] Draws Reaction,Editor and Publisher,Book Publisher
Astor. David,1997, Ramirez Is Prez And Pett Will Be [president-elect of the Association of American Editorial Cartoonists],Editor and Publisher,Book Publisher
Astor. David,1997, Revived 'Terry' Strip Has Ended,Editor and Publisher,Book Publisher
Astor. David,1997, Saturday Morning Cartoon Session [on web sites],Editor and Publisher,Book Publisher
Astor. David,1997, Show [Exhibit Called 'Your Career in the Comics'] Will Cover Comic Careers,Editor and Publisher,Book Publisher
Astor. David,1997, Stan Lee's 75th Is Being Marked,Editor and Publisher,Book Publisher
Astor. David,1997, Syndicate Offers A Trio Of Strips [ New England Features Syndicate; 'Cotton Candy.' on six African-American children; 'Rugby.' about a male teen; 'Prince Lightning.'on a robot],Editor and Publisher,Book Publisher
Astor. David,1997, Tenth Birthday For 'WittyWorld',Editor and Publisher,Book Publisher
Astor. David,1997, 'The Sweat Sox' Strip Is Created [by Ross Bunch on a fictional minor league baseball team],Editor and Publisher,Book Publisher
Astor. David,1997, They set their sites on the web in 1996 [syndicates],Editor and Publisher,Book Publisher
Astor. David,1997, They set their sites on the web in 1996 [syndicates],Editor and Publisher,Book Publisher
Astor. David,1997, They're Booked For The Autumn [new United Media cartoon books released],Editor and Publisher,Book Publisher
Astor. David,1997, They're Honored For Sundae Best [in 'Nancy' contest],Editor and Publisher,Book Publisher
Astor. David,1997, Thousands Vote On Luann Match,Editor and Publisher,Book Publisher
Astor. David,1997, TMS Introduces Pulitzer Package [of editorial cartoons],Editor and Publisher,Book Publisher
Astor. David,1997, Two Cartoonists Heading Schools [Bradley Keough. director of the Cartoonerama correspondence course. succeeds founding director Leo Stoutsenberger],Editor and Publisher,Book Publisher
Astor. David,1997, Two Honored at Cartoonist Event [National Cartoonists Society. Tim Rosenthal],Editor and Publisher,Book Publisher
Astor. David,1997, United Will Offer 'Herman' Reruns,Editor and Publisher,Book Publisher
Astor. David,1997, Upcoming Book Is Anti-'Dilbert',Editor and Publisher,Book Publisher
Astor. David,1997, Watterson Topic Of Parade Query,Editor and Publisher,Book Publisher
Astor. David,1997, Web Delivery Is Started By TMS,Editor and Publisher,Book Publisher
Brown. Robert U,1997, Bee Can't Take Sting [of 'Non Sequitur' comic strips by artist Wiley Miller],Editor and Publisher,Book Publisher
Fitzgerald. Mark,1997, Glad To Be 'Mad' At Reuben Event,Editor and Publisher,Book Publisher
Fitzgerald. Mark,1997, Press Council. Poking Fun At Religion [in Canadian cartoons] No Taboo,Editor and Publisher,Book Publisher
Fitzgerald. Mark,1997, Tribune revives classic comics,Editor and Publisher,Book Publisher
Unknown,1997, [Dan] Spiegle Honored [at Comic Art Professional Society's annual banquet],Editor and Publisher,Book Publisher
Unknown,1997, ['Non Sequitur'] Comic Canned For Skewering Papers,Editor and Publisher,Book Publisher
Unknown,1997, >From Printed Page To Television Stage [editorial cartoonists Dana Summers and Ralph Dunagin ],Editor and Publisher,Book Publisher
Unknown,1997, >From Turmoil To Turnaround At UM [United Media Syndicate],Editor and Publisher,Book Publisher
Unknown,1997, 'Anti-Stupid' Motto At Heart Of His Work [Marshall Ramsey. editorial cartoonist],Editor and Publisher,Book Publisher
Unknown,1997, Cartoon Story Of Jackie Robinson [in Long Island. N Y Newsday's 'Student Briefing Page,Editor and Publisher,Book Publisher
Unknown,1997, Cartoonist And Writer Honored [Bill Yates. former King Features Syndicate comics editor who works on 'Redeye' and 'Small Society' comics],Editor and Publisher,Book Publisher
Unknown,1997, Cartoonist Economist [political cartoonist Kevin Kallaugher],Editor and Publisher,Book Publisher
Unknown,1997, Cartoonists Help N,Editor and Publisher,Book Publisher
Unknown,1997, Cincinnati Creator [Editorial Cartoonist Jeff Stahler] Is Nationally Known,Editor and Publisher,Book Publisher
Unknown,1997, Color Cartoons And Caricatures Coming [from Ranan Lurie's Cartoonews International Syndicate],Editor and Publisher,Book Publisher
Unknown,1997, Conversation Covers The 'Peanuts' Pause [Schulz vacation],Editor and Publisher,Book Publisher
Unknown,1997, Creators Offers [Mike] Lane Cartoons,Editor and Publisher,Book Publisher
Unknown,1997, David Broder Gets A Lifetime Award [the highlight of his career involved a cartoon character],Editor and Publisher,Book Publisher
Unknown,1997, Entertainment Is 'Outtake' Theme [written by Mark Pothier. drawn by Ed Colley],Editor and Publisher,Book Publisher
Unknown,1997, 'Family Popcorn' strip syndicated,Editor and Publisher,Book Publisher
Unknown,1997, 'For Better' Creator [Lynn Johnston] Explains Her Move,Editor and Publisher,Book Publisher
Unknown,1997, 'For Better' Will Move To United,Editor and Publisher,Book Publisher
Unknown,1997, Former Pulitzer [editorial cartoonist] Recipients Discuss The Newest Winner [Walt Handelsman],Editor and Publisher,Book Publisher
